SampleID,latitude,longitude
2023-0044-AF4_combined,51.1814491,1.1697682
2023-0045-AF2_combined,51.272644,0.52527
2023-0048-AF1,51.3,0.583
2023-0049-AF3,51.38912665,0.43379
2023-0060,51.1371483,0.2673446
2023-0061-AF1,51.3533334,1.1293774
2023-0134-F4,50.7956754,0.0506108
2023-0141-AF2,51.1506217,1.366197
2023-0502-AF2,51.1132673,1.0937859
2023-0510-AF1,51.0601875,1.0480652
2023-0520B,50.5603,-2.44243
2023-0771-P5,51.1856297,1.3959649
2023-1196-AF1_combined,51.272644,0.52527
2023-1200-AF1,51.128761,1.323274
2023-1333-AF1,51.1944104,-4.1319121
2023-1398-AF1,50.86,-1.4016
2023-1590-AF3_combined,51.1132673,1.0937859
2023-1591-F1,51.170962,1.3467541
2023-1656-AF5,51.4989335,0.1148486
2023-1672-AF2,51.1506217,1.366197
2023-1674-AF2_combined,51.1028,1.2053
2023-1676-AF1_combined,51.1028,1.2053
2023-1677-AF4,51.1028,1.2053
2023-1678-AF1,51.2786172,1.184417
2023-1679-AF2_combined,51.2227,1.39999
2023-1681-AF3,51.5388241,0.7128137
2023-1682-AF2_combined,51.0685,0.6878
2023-1683-AF2,51.25804876,-0.003769196
2023-1684-AF3,51.081398,1.169456
2023-2001-FA4,51.4424747,0.3694468
2023-2002-P1,51.1855875,1.231137
2023-2010-AF2,51.1270392,1.3064889
2023-2031-AF3_combined,51.1028,1.2053
2023-2032-AF3,50.9872157,0.6521238
2023-2412-T1,51.075863,1.139325
2023-2413-F4_combined,51.272644,0.52527
2023-2414-AF2,50.5603,-2.44243
2023-2415-AF1,51.3607,1.0257
2023-2417-AF1,51.0729583,1.118642
2023-2610-AF1,51.009905,0.853946
2023-2614-AF2_combined,51.1143879,1.2545809
2023-2824-AF1,51.116456,1.183125
2023-2825-AF1,50.768036,0.290472
2023-2826-AF1_combined,50.8553888,0.5824703
2023-2994-T2,51.116099,1.2354807
2023-2998-F3,50.3714122,-4.1424451
2023-2999-AF1,51.1128,1.1618
2023-3019-AF2_combined,51.1465,0.8738
2023-3020-AF1,51.081398,1.169456
2023-3095-AF3,51.06728375,0.68425649
2023-3193-T2,51.1028,1.2053
2023-3276-AF1,51.009905,0.853946
2023-3423-AF,53.76775,-0.335827
2023-3689-AF2,51.1791044,1.0693565
2023-3690-AF1,51.1357404,1.2236926
2023-3706-AF6,51.215957,0.951289
2023-3876-AF3,54.5,-1.35
2023-3910-AF9_combined,51.5432402,-0.0493621
2023-3939-T4,50.8878012,-1.4483258
AH012_combined,50.9076593,0.6071495
AH-2024-004248-AF05,51.0263293,0.9936502
AH-2024-1201-AF05,50.8419553,0.4709063
AH-2024-1295-AF08,50.950968,0.9065381
AH-2024-2184-AF01,50.854259,0.573453
AH-2024-2196-AF01,51.2467467,1.2305291
AH-2024-2199-AF03,51.0483535,-0.0789215
AH-2024-2373-AF03,50.9511871,0.7327667
AH-2024-2376-TA04,51.1357404,1.2236926
AH-2024-2377-AF04,51.2044715,1.1569061
AH-2024-2683-L2,51.164819,1.236845
AH-2024-2699-AF02,51.1513,1.266901
AH-2024-2759,50.9203,-1.404351
AH-2024-2803-AF06,51.3357,1.418
AH-2024-2817-AF08,51.15,1.117
AH-2024-2818-AF05,50.9333,0.6667
AH-2024-3574-AF04,51.1318439,1.212231
AH-2024-3576-AF01,51.1763227,1.2468642
AH-2024-3838-AF01,51.639272,-2.1594783
AsAd35_combined,51.4101286,-0.6680194
Dray-TA6_combined,52.5982437,-1.7157076
FOW2-TA2_combined,50.3357786,-4.6365952
FOWTA1-2023-Extract_combined,50.3357786,-4.6365952
Ham1-TA5_combined,51.0895586,-1.1629772
HAM2-TA9_combined,50.8192273,-1.5780214
Ray-AdF77_combined,51.5884892,0.6012418
SE1912495-L6_combined,50.800031,-1.0906023
SE192506-TA6_combined,50.736782,-1.777897
SE20-2833AD16_combined,50.7952074,-1.1210853
WVU3-2023-Extract_combined,51.1728168,-4.2051461
2Bord20-21,44.841225,-0.5800364
2Boul,44.8140115,-0.5036626
2CV,49.19,-2.1
2HAM,53.550341,10.000654
2Steenbergen,51.5842,4.3194
4HDF,49.2331398,-2.0946972
4IS,49.1833,-2.0833
4NL,51.68214496,3.882812962
A2,51.0538286,3.7250121
1A,39.5519199,-8.9763396
1Alphen,52.1292,4.6555
1Bord13-17,44.841225,-0.5800364
1KARL,49.0068705,8.4034195
1SPV,49.2,-2.18
Lux-3,49.7637403,5.8802543
