K,Reps,Mean_LnP,Stdev_LnP,Ln_prime,Abs_Ln_double_prime,Delta_K
1,10,-14900.44,0.5621,NA,NA,NA
2,10,-15100.47,930.6901,-200.03,112.24,0.120599
3,10,-15188.26,394.3436,-87.79,647.14,1.641056
4,10,-15923.19,1563.4808,-734.93,20.93,0.013387
5,10,-16679.05,2115.0434,-755.86,625.76,0.295862
6,10,-18060.67,3506.9226,-1381.62,1161.98,0.331339
7,10,-20604.27,5146.8523,-2543.60,145.00,0.028173
8,10,-23292.87,8799.6808,-2688.60,3814.68,0.433502
9,10,-22166.79,4350.3422,1126.08,5762.52,1.324613
10,10,-26803.23,8405.5375,-4636.44,NA,NA
